x,y,value
12698200,2564800,7
12678000,2592000,2
12722000,2579000,25
12667000,2584600,48
12735200,2586600,1
12744200,2571800,1
12724400,2582400,7
12680400,2580400,7
12675600,2590000,3
12739200,2571600,3
12679000,2593000,6
12682800,2560200,17
12695600,2570200,12
12671200,2579000,19
12685600,2565200,4
12676800,2573800,9
12685000,2592000,17
12679000,2582200,8
12683800,2557200,23
12674000,2584600,5
12697400,2580400,3
12751400,2562200,2
12682000,2560400,38
12682400,2582400,13
12679400,2582000,1
12705000,2561800,35
12670400,2576200,31
12680200,2580800,3
12714200,2574800,2
12673200,2592800,1
12738600,2579000,4
12673600,2571800,5
12717200,2581200,4
12676000,2576000,5
12672800,2587200,34
12707600,2569000,19
12698000,2577200,14
12695400,2582400,2
12684400,2582000,1
12686600,2591600,1
12711400,2563400,15
12706200,2564200,17
12720800,2578400,7
12669600,2578400,21
12734600,2581600,1
12710000,2563200,17
12716600,2575800,8
12683200,2585400,4
12696800,2572800,5
12704600,2569800,14
12732600,2584200,13
12702400,2563400,21
12718000,2582200,29
12714800,2582400,5
12746200,2563400,9
12723600,2581600,12
12680800,2557200,10
12682800,2590200,6
12676800,2568400,17
12694200,2585400,4
12716600,2570200,2
12708400,2574800,8
12667200,2585600,8
12687400,2578600,13
12685200,2560600,1
12675000,2564600,6
12676400,2575200,17
12698200,2563400,14
12687800,2567600,1
12701600,2579000,3
12681000,2559000,1
12679200,2579000,1
12678400,2556600,17
12719400,2581400,11
12674200,2585600,28
12694800,2571000,22
12715600,2585400,1
12690400,2578600,19
12701800,2563200,10
12724800,2590000,6
12690600,2578400,9
12678600,2567400,2
12685600,2587200,3
12684200,2579000,4
12748800,2560200,2
12695200,2580000,5
12676800,2593200,8
12694600,2573000,25
12687800,2559400,9
12673800,2581000,2
12682200,2588200,8
12694800,2583000,2
12695600,2571400,8
12677600,2566800,26
12684600,2579400,1
12717800,2580200,38
12690600,2577800,6
12721000,2582200,21
12677600,2583000,4
12683600,2561400,6
12666000,2577800,6
12679800,2553800,3
12678600,2551800,1
12690800,2559400,31
12731000,2577800,14
12711400,2562800,18
12695800,2567800,20
12685200,2558400,5
12724400,2587600,8
12727000,2581800,4
12709200,2570800,4
12667600,2578400,47
12668200,2584200,13
12684200,2570800,11
12697800,2578200,6
12671000,2575800,5
12680000,2581400,3
12702600,2579400,4
12727200,2591000,2
12670600,2568400,1
12709600,2571200,2
12675600,2588000,3
12682400,2573200,14
12697400,2569400,3
12724800,2588200,29
12702400,2562800,34
12699800,2581000,1
12707600,2562400,4
12682800,2568000,1
12727600,2568000,3
12682400,2562000,12
12683800,2586000,1
12679600,2556000,25
12682000,2576000,6
12710800,2574200,7
12701600,2561200,12
12705000,2581400,1
12695400,2573200,41
12720600,2585400,3
12726000,2583400,2
12674600,2588200,11
12695600,2579800,11
12683000,2571200,2
12689600,2578400,21
12678600,2586200,1
12694200,2572800,1
12677800,2569400,6
12673800,2582000,9
12679000,2574400,10
12695000,2563600,11
12696000,2568800,27
12682200,2555200,5
12703800,2574200,5
12689800,2580200,2
12669000,2573800,1
12679000,2561200,2
12677600,2580000,2
12703800,2561000,25
12694000,2571200,11
12714800,2573200,13
12716800,2582200,6
12722000,2579600,1
12675800,2569600,18
12681400,2588800,9
12680600,2557600,15
12684000,2561200,18
12686400,2563600,2
12697400,2573000,7
12682800,2560400,8
12707800,2573200,8
12685000,2592200,11
12693000,2574400,11
12707800,2562000,15
12674000,2584400,6
12690600,2561200,5
12701400,2564200,20
12697600,2557600,5
12693000,2561200,4
12681000,2589400,10
12682000,2560600,22
12669800,2576200,4
12681600,2553400,4
12706400,2571200,10
12689000,2584400,5
12678400,2561200,3
12749600,2554000,2
12699000,2572600,18
12730600,2576000,4
12723400,2569600,4
12672800,2587400,46
12714000,2575200,5
12695000,2560600,3
12698000,2577000,6
12725600,2575800,1
12682600,2572600,9
12694600,2585400,6
12719600,2566400,12
12685400,2561200,10
12727000,2580600,1
12710000,2563400,32
12701800,2561000,5
12719200,2584000,20
12725600,2579800,4
12683200,2585600,2
12707000,2575200,2
12680800,2588400,18
12673400,2577600,1
12695600,2572600,19
12694400,2585800,8
12702400,2563200,28
12714000,2575400,13
12725600,2567800,24
12689600,2579800,2
12691800,2559000,3
12747400,2575000,1
12677200,2583200,4
12692400,2561200,3
12703000,2563400,10
12719400,2585000,1
12692200,2574800,27
12676800,2568200,14
12686000,2581600,2
12715400,2572200,1
12694200,2585600,3
12683200,2561200,3
12681000,2592800,7
12702000,2574200,1
12685200,2560400,6
12736200,2580800,3
12675400,2586200,3
12687800,2567400,2
12678600,2587400,2
12700200,2578200,3
12673600,2566000,3
12735000,2578800,5
12674400,2585200,4
12694800,2571200,20
12692200,2560400,3
12739000,2570600,1
12721200,2580800,9
12683800,2583200,36
12703600,2569400,29
12690800,2567400,3
12685600,2587400,2
12701800,2583200,1
12701600,2564000,10
12734800,2586200,5
12736400,2580400,14
12722000,2578800,13
12680200,2576800,30
12677400,2587800,3
12736000,2582400,5
12685400,2564600,2
12713600,2574400,21
12686200,2571600,4
12701600,2572400,10
12694600,2573200,29
12694200,2575600,13
12689600,2562800,21
12673800,2581200,48
12695600,2571600,4
12705400,2570800,9
12673400,2585400,5
12684800,2594000,5
12705200,2561200,10
12721000,2582400,19
12670800,2568800,6
12677600,2583200,2
12719200,2565400,1
12679800,2588000,6
12703000,2562800,5
12705000,2575200,1
12687200,2564400,33
12725200,2578800,25
12690800,2559200,5
12713000,2570600,2
12680800,2562000,36
12705800,2570800,6
12669600,2583800,3
12676600,2565400,20
12719200,2578400,25
12673200,2585600,12
12704800,2580000,9
12694600,2578600,10
12727000,2576800,15
12709600,2571000,2
12726800,2576000,6
12699800,2581200,11
12703800,2560000,18
12706600,2575600,5
12700000,2582400,4
12716000,2580200,20
12668000,2571400,1
12700600,2560800,7
12683200,2572600,4
12679600,2556200,5
12717200,2563000,10
12682000,2563800,14
12683400,2578400,4
12675400,2594800,1
12735800,2581600,1
12694600,2575800,18
12733200,2569600,3
12679200,2576000,35
12676600,2591800,1
12689600,2578200,9
12676000,2575400,18
12690200,2575000,4
12694200,2572600,26
12706400,2579000,20
12681200,2590800,4
12684600,2556200,4
12682800,2583800,8
12706600,2579600,14
12672800,2584600,10
12695000,2563800,25
12677400,2557600,1
12709000,2576800,6
12694400,2578400,15
12685000,2577000,34
12669000,2573600,1
12724400,2575200,2
12728000,2578400,26
12698400,2582800,17
12718600,2567800,1
12690600,2583800,9
12686000,2571400,1
12731800,2586400,1
12678000,2592400,1
12718400,2568200,1
12675800,2569800,21
12719800,2579800,1
12687600,2561000,19
12690400,2576600,20
12722600,2577400,11
12708600,2572000,8
12710600,2571000,3
12706800,2574800,11
12683800,2584800,9
12694200,2586800,1
12669400,2589800,12
12737200,2572000,4
12703600,2571000,7
12745600,2565200,2
12678800,2591000,4
12681600,2553600,6
12694800,2584800,1
12706800,2567400,4
12702800,2566400,2
12682000,2557000,2
12704200,2559600,12
12673200,2592400,48
12730000,2580000,7
12697200,2577600,9
12673400,2578800,16
12668000,2581800,6
12678000,2557200,1
12672800,2587600,37
12698000,2577600,1
12701800,2560200,47
12682600,2572800,3
12711400,2563000,7
12696200,2571800,4
12678000,2564600,5
12719800,2582600,25
12676200,2562800,2
12704600,2571000,15
12732800,2579600,1
12695600,2572800,41
12692600,2584600,5
12726400,2579600,11
12699200,2569600,11
12671800,2584600,1
12691000,2566000,4
12725600,2567600,19
12679200,2583800,10
12687000,2586800,1
12679600,2557800,4
12699400,2578800,32
12670800,2570800,3
12669600,2576200,5
12683800,2563000,13
12670400,2570800,11
12697000,2560000,2
12670000,2584800,25
12669600,2584600,11
12676600,2592400,6
12718600,2567600,1
12705800,2568800,36
12700400,2560200,31
12673200,2572200,21
12715200,2576200,5
12684600,2557800,10
12680000,2574600,9
12695000,2577800,1
12733800,2579400,1
12681200,2589600,20
12680800,2559400,16
12683200,2575400,3
12693200,2583800,4
12676000,2573200,33
12683800,2583400,4
12703600,2569600,18
12685600,2587600,7
12680600,2559600,3
12685400,2556200,8
12701600,2564200,7
12680200,2563000,24
12736400,2580200,32
12697000,2574600,5
12696400,2577800,19
12735600,2584800,14
12720800,2564400,1
12703000,2578800,7
12697800,2559400,3
12748600,2566800,1
12709800,2573400,6
12694600,2573400,26
12667000,2576400,4
12691600,2573800,14
12673800,2581400,41
12694800,2583400,5
12673400,2585600,18
12672200,2581800,19
12697200,2563000,11
12725400,2581600,6
12669200,2575600,1
12672400,2567400,1
12721400,2580200,19
12703000,2569800,19
12690600,2576200,6
12717400,2582800,32
12680600,2562800,12
12679800,2588200,8
12685200,2562400,14
12671200,2588200,14
12713000,2570800,1
12699000,2570000,4
12705800,2570600,9
12737000,2588400,1
12715200,2573400,7
12669600,2583600,13
12697800,2578600,10
12673200,2585400,1
12728400,2579200,9
12702400,2577200,5
12710600,2572200,18
12699400,2562000,2
12670600,2568800,3
12677000,2561800,2
12681600,2560600,19
12720800,2575200,2
12730600,2587800,1
12699800,2581400,2
12677200,2567200,31
12746600,2564600,1
12683200,2563600,3
12718400,2579800,4
12706200,2573400,3
12757600,2560600,1
12706600,2575400,28
12722200,2583800,4
12673200,2571200,6
12734800,2580600,22
12703600,2572200,2
12715600,2579400,7
12687600,2562000,1
12686000,2590600,3
12728000,2591200,4
12685800,2587400,1
12739200,2568800,1
12702400,2569200,6
12730000,2583200,5
12695000,2569600,1
12691200,2576400,35
12689600,2578000,4
12717800,2582800,15
12706400,2579200,15
12667200,2581400,7
12721400,2586000,5
12684600,2556400,7
12704200,2563600,7
12679000,2574800,1
12672000,2590400,12
12695000,2568400,29
12680800,2560800,2
12688800,2561400,5
12675600,2573200,1
12698400,2582600,4
12687400,2593000,1
12685600,2577800,1
12727800,2579600,7
12674400,2582600,14
12716800,2582600,1
12674200,2581400,4
12731800,2586600,8
12716400,2576000,18
12675200,2570800,4
12678600,2589800,33
12723000,2585200,2
12699000,2559200,27
12690400,2576800,36
12697800,2560800,2
12736000,2570000,1
12713200,2568800,1
12709800,2572800,24
12718200,2563200,14
12716800,2577200,11
12720400,2564800,1
12692600,2577800,9
12681000,2587400,9
12702600,2580000,2
12665200,2581600,1
12726800,2586600,1
12705400,2576000,17
12684400,2570600,18
12680400,2589800,15
12706600,2561200,20
12681000,2563400,14
12678800,2591200,3
12731400,2585800,9
12687200,2586400,1
12681600,2553000,3
12673200,2569000,1
12673600,2570200,4
12706600,2562800,11
12683800,2563800,9
12709600,2569000,11
12669800,2585800,9
12678400,2561600,5
12704200,2559400,23
12691200,2575400,11
12697200,2577000,9
12682000,2590400,7
12669600,2575000,1
12750400,2566800,8
12678000,2557000,1
12730000,2577000,16
12671800,2588800,4
12691400,2559400,1
12693400,2562800,6
12707200,2562400,10
12666200,2574600,4
12727000,2580200,11
12669200,2585400,20
12693800,2583000,2
12667600,2572200,1
12681800,2582000,50
12704600,2571200,2
12708200,2574400,1
12681200,2582400,5
12725600,2576600,6
12726400,2579400,12
12677200,2592800,3
12699600,2570200,29
12670600,2576800,3
12691000,2566600,18
12725600,2567400,6
12675200,2574600,16
12692400,2561600,8
12720600,2581600,31
12703800,2579400,8
12718400,2585400,3
12724200,2586800,7
12696800,2582000,6
12705600,2560800,14
12735800,2588800,8
12678800,2557800,1
12669600,2576000,5
12706000,2560800,10
12756000,2554800,4
12680200,2586400,26
12670000,2584600,8
12697000,2560600,6
12676600,2592600,2
12697600,2586000,3
12702400,2572000,15
12705800,2568600,19
12673200,2590400,6
12690800,2585800,7
12723600,2588400,41
12717800,2573600,16
12720200,2566400,5
12676800,2567800,11
12708000,2574600,4
12680000,2574400,7
12674400,2585600,3
12697800,2582600,18
12680400,2561800,17
12695600,2585000,1
12693200,2583600,11
12685600,2576600,11
12720000,2564800,9
12703600,2569000,35
12703200,2570200,15
12690200,2585400,5
12680600,2559800,41
12702000,2581000,2
12680800,2592200,2
12680200,2563200,23
12695600,2570400,46
12755000,2560800,2
12697000,2574400,5
12724800,2579600,3
12705800,2577200,1
12723400,2563800,1
12687800,2578800,22
12677800,2556600,2
12735800,2585600,3
12708200,2571400,6
12667000,2576200,1
12691600,2573600,38
12728800,2574200,6
12692600,2576600,12
12679800,2563800,43
12671600,2568800,10
12727200,2577400,3
12716000,2583200,14
12705800,2581800,11
12697600,2559800,7
12693600,2584200,13
12674800,2590400,1
12668200,2576600,4
12697200,2563200,16
12670200,2586800,39
12673400,2591200,8
12679800,2588400,2
12715800,2573400,2
12705400,2568000,23
12717200,2575000,10
12678800,2590800,22
12722800,2585600,1
12682800,2557200,25
12737000,2588600,2
12715600,2575200,17
12678400,2562800,10
12710600,2572400,8
12739800,2570800,1
12677400,2591400,27
12673400,2579000,5
12684800,2588400,1
12677000,2561600,1
12681600,2560400,12
12712000,2573400,7
12677200,2567000,21
12700400,2584600,1
12703800,2560400,15
12683200,2563000,1
12711800,2563000,5
12709200,2577400,4
12734800,2580800,16
12736400,2586600,2
12680200,2574200,5
12726000,2582400,2
12685200,2556000,1
12687600,2562600,6
12708200,2577600,5
12696600,2560400,4
12728000,2591000,2
12694200,2563000,10
12755600,2555000,2
12677000,2588000,4
12726200,2589200,3
12713200,2573000,7
12697200,2574200,2
12680000,2558200,3
12689400,2579600,1
12690000,2562400,3
12667200,2581200,39
12703400,2561200,29
12670000,2574200,2
12690600,2562600,6
12726200,2583600,37
12699400,2579000,3
12715200,2568800,8
12734200,2582800,19
12682000,2553800,14
12689800,2576000,3
12678400,2593800,6
12715200,2584000,2
12676600,2563600,11
12674400,2563400,1
12669200,2586600,25
12671400,2582800,32
12682800,2588600,3
12731400,2585600,6
12697000,2558200,42
12684800,2578400,6
12674200,2581200,5
12676400,2592400,2
12716400,2576200,6
12700800,2570800,6
12723000,2585000,4
12681200,2587600,13
12706200,2568800,21
12745800,2558800,1
12697600,2563400,37
12724000,2583000,33
12699600,2575000,12
12697400,2572200,10
12688800,2559800,1
12702000,2565800,1
12718200,2563000,1
12668000,2577600,19
12681000,2587200,20
12736000,2586600,4
12706600,2563000,11
12723200,2571200,2
12693800,2578400,1
12709000,2569800,12
12727800,2586400,1
12679800,2583200,7
12670400,2576400,23
12701200,2564000,12
12719000,2583000,14
12727800,2580600,1
12680200,2585600,21
12678800,2591400,5
12694200,2574400,45
12700800,2564400,2
12675000,2569200,19
12693400,2570400,9
12714400,2588600,1
12704400,2572600,7
12704600,2572600,13
12722600,2585000,6
12713400,2574200,6
12691400,2559600,2
12716400,2579200,9
12733000,2586000,5
12748400,2560400,1
12698800,2564000,14
12686000,2566400,6
12680600,2551600,1
12737600,2581000,1
12735400,2586400,14
12708200,2574200,7
12708600,2568600,15
12683400,2589000,10
12679400,2550200,1
12691000,2577600,1
12724000,2586000,3
12682600,2560800,28
12676400,2564600,9
12676800,2589000,9
12671800,2584200,1
12679200,2583400,14
12730400,2580000,5
12706600,2574400,1
12723200,2566600,1
12684800,2558000,29
12718400,2585600,4
12672600,2589600,7
12671200,2587600,1
12718800,2564800,1
12696600,2573400,45
12680800,2582400,3
12680200,2586600,20
12670000,2584400,10
12697000,2560400,4
12669600,2584200,23
12684200,2583400,16
12678600,2576000,3
12678600,2584400,3
12693000,2559600,3
12686800,2579600,12
12686600,2566600,3
12709000,2577600,1
12708000,2574000,3
12682800,2586200,1
12716600,2572600,8
12728200,2587800,18
12730200,2577600,8
12703200,2570000,18
12714200,2562800,1
12676200,2560200,2
12684800,2579200,1
12680800,2592000,1
12731200,2577400,1
12685400,2586200,6
12709800,2573000,14
12682600,2578600,5
12690000,2567200,2
12732800,2584800,13
12672200,2575200,18
12706400,2569000,35
12682000,2554600,13
12674000,2567200,42
12673000,2589200,4
12726200,2577400,3
12715800,2573200,3
12705400,2568600,7
12690600,2584200,2
12717200,2575200,7
12682200,2581800,30
12698600,2562800,18
12695600,2578600,23
12717200,2585400,18
12731400,2582000,1
12699000,2561000,7
12712200,2567200,3
12685400,2582800,7
12693000,2571800,12
12711400,2570000,5
12672400,2579000,42
12704200,2575200,2
12681600,2560200,15
12720600,2575000,2
12690600,2575000,4
12709200,2577600,2
12695800,2580800,3
12692400,2582800,18
12708200,2577400,30
12674200,2593400,1
12689800,2558200,8
12696000,2580000,26
12694200,2577600,1
12691600,2575200,12
12667400,2576400,2
12702800,2563600,22
12693400,2575600,17
12734600,2577400,1
12721400,2586800,1
12689400,2579400,3
12690000,2562600,3
12730600,2581400,4
12730000,2578400,17
12714400,2580800,22
12703400,2561000,12
12724200,2587000,5
12704800,2575600,1
12670400,2586000,4
12735800,2579400,1
12698400,2579000,2
12715000,2591600,1
12707200,2561000,41
12705800,2572400,16
12718200,2578200,10
12715600,2577600,1
12669600,2585400,32
12675000,2589800,8
12676600,2563800,25
12722200,2588200,2
12724200,2589200,8
12669200,2586000,6
12727800,2579200,16
12755600,2573600,1
12724800,2589000,12
12671400,2582600,25
12684800,2578200,3
12692000,2572200,5
12719200,2587000,6
12719600,2580600,7
12724000,2583200,19
12705600,2572600,1
12677200,2565800,8
12681600,2589400,3
12678000,2563800,29
12679600,2575800,8
12706600,2577600,4
12671800,2572000,5
12722400,2583200,17
12665200,2581200,3
12686200,2565400,32
12679800,2583400,42
12715000,2571800,1
12695600,2567600,14
12670800,2585000,9
12680800,2561000,1
12737000,2569400,4
12716200,2580200,2
12708600,2574600,3
12696400,2582400,2
12700800,2564600,1
12694200,2581400,4
12689600,2563400,1
12674800,2586600,27
12709000,2578400,6
12696600,2567200,3
12684800,2583400,5
12667800,2579000,5
12722600,2585600,12
12698400,2580400,12
12730000,2577400,12
12693600,2575800,6
12691400,2559000,5
12703200,2575200,6
12741400,2567400,2
12734200,2577600,11
12725800,2587200,22
12673600,2570600,44
12715600,2581400,3
12683600,2569000,1
12735400,2586600,1
12693800,2583400,5
12731200,2572600,1
12680600,2581000,14
12683800,2556600,23
12700400,2574400,3
12708600,2568400,30
12696200,2576400,5
12682600,2560600,13
12723200,2577600,5
12676400,2564400,35
12676800,2589600,22
12711400,2572400,1
12751800,2562200,3
12720600,2581200,43
12722400,2586600,4
12697600,2581000,7
12675800,2563400,13
12671200,2576200,46
12676600,2568600,10
12695200,2569000,16
12681200,2582000,1
12695600,2560600,2
12721000,2565800,10
12703000,2559800,15
12700000,2561200,1
12727600,2592600,5
12726200,2582200,8
12677400,2595600,4
12673400,2576400,15
12683400,2584200,27
12688800,2563400,3
12692800,2570800,6
12727000,2568000,5
12734000,2584800,8
12695600,2557000,1
12673400,2567200,6
12697800,2582200,37
12691400,2560000,2
12722400,2579000,22
12672400,2571600,2
12687000,2567000,12
12730200,2577000,6
12700600,2559400,21
12708200,2572600,9
12676400,2591400,4
12707400,2571000,7
12723200,2585000,3
12666200,2581400,3
12674200,2564600,3
12728000,2584200,1
12680600,2582000,23
12673600,2568800,27
12672800,2585600,6
12682600,2578400,6
12679200,2581400,14
12722200,2582800,7
12690000,2567000,3
12692600,2576200,8
12672200,2575000,23
12727200,2577000,2
12704800,2578400,12
12699400,2576400,9
12682000,2554400,13
12665800,2578800,1
12723000,2575400,2
12681000,2558000,1
12686800,2563000,7
12696800,2579200,17
12670000,2586400,14
12698400,2571600,4
12687400,2578800,2
12705400,2568400,12
12671400,2585400,1
12695600,2578400,13
12684200,2581400,4
12717200,2585200,17
12690400,2558800,2
12704800,2571400,1
12682200,2576800,3
12679000,2577800,4
12681800,2556400,6
12696000,2579200,7
12667200,2582000,2
12677000,2574000,10
12671600,2591000,3
12673400,2579400,34
12695400,2578200,1
12704600,2569600,4
12725000,2583400,10
12683200,2577800,5
12726400,2582200,6
12709200,2577000,3
12737800,2569400,1
12684400,2575800,9
12679000,2557600,12
12680800,2590800,4
12684000,2577800,41
12676000,2586000,13
12674200,2582000,12
12729400,2580600,29
12698000,2568000,3
12718000,2583400,3
12691600,2575400,29
12703000,2567200,23
12679800,2561200,4
12725200,2588400,15
12693400,2575800,21
12693000,2577800,10
12730400,2587800,1
12692000,2560800,4
12670200,2584200,27
12721400,2578400,9
12730600,2581600,2
12725600,2580800,28
12693600,2572600,32
12704800,2575400,9
12670400,2586200,19
12719400,2564600,5
12733000,2583400,1
12692000,2575800,1
12717000,2583200,13
12695200,2571800,44
12691800,2576600,6
12669000,2584000,21
12672800,2583400,27
12675200,2568600,7
12683600,2577000,35
12677000,2555600,2
12724000,2583400,3
12676400,2569600,6
12702000,2575000,3
12676800,2586400,5
12679600,2575600,5
12689400,2563000,15
12681400,2582600,2
12722400,2583000,17
12736000,2586200,2
12683200,2581600,2
12730200,2568800,2
12668600,2584800,30
12685800,2565800,39
12702800,2560000,22
12694600,2577000,4
12674200,2583000,2
12682800,2555000,19
12735600,2585400,3
12666400,2576000,4
12703000,2579400,5
12672600,2571800,21
12682200,2556200,16
12686000,2558400,6
12708600,2574400,23
12696400,2582600,3
12694200,2581600,2
12717200,2582600,21
12667200,2577800,7
12682000,2555200,1
12714400,2588200,2
12681400,2559200,10
12722600,2585400,8
12672800,2588800,17
12693600,2575600,1
12697800,2574200,1
12671400,2584200,3
12675600,2591200,12
12734200,2577800,9
12725800,2587000,1
12678600,2592600,2
12705400,2580600,6
12720800,2581600,23
12680000,2553200,3
12696000,2578400,6
12696400,2559200,11
12683600,2569600,5
12709400,2569400,1
12703800,2564600,26
12685400,2591200,3
12671600,2582800,28
12683800,2556400,20
12668600,2576600,6
12698600,2571800,4
12708600,2568200,3
12681600,2573800,10
12696200,2576600,21
12723200,2577800,6
12718800,2587000,1
12709200,2568800,13
12720200,2566000,39
12680600,2558800,4
12673800,2594000,3
12695800,2571600,5
